0.134351	Suddenly,
1.115112	everything
1.726408	went
2.142895	quiet.
///
3.264725	The
3.513274	kids
3.748387	looked
4.077547	back
4.326096	at
4.467164	Earth.
5.091896	It
5.219529	was
5.414337	like
5.642734	a
5.777085	dazzling
6.421968	giant
6.919066	blue
7.214638	marble,
7.940133	shrinking
8.571581	quickly
8.934329	as
9.149290	they
9.431427	sped
9.713563	away.
///
10.358447	At
10.559973	least
10.81524	for
11.016766	now,
11.63478	everyone
12.09829	agreed
12.528213	that
12.716304	being
12.91783	in
13.146226	space
13.656759	wasn't
13.891873	so
14.140422	scary.
