speaker = narrator
0.000000	“This
0.289980	will
0.521964	help,”
0.869940	said
1.101924	Niko,
1.391904	“But
1.623888	WATCH
1.913868	OUT
2.087856	FOR
2.261844	THE
2.435832	ASTEROIDS!”
3.073788	///
3.247776	“And
3.479760	THAT
4.117716	SATELLITE!”
4.407696	added
4.871664	Mathias.
5.045652	///
5.277636	They
5.741604	expertly
6.263568	navigated
6.669540	through
6.843528	all
7.017516	the
7.423488	dangers
7.655472	like
7.887456	TRUE
8.525412	astronauts.
8.815392	Whew,
9.047376	they
9.279360	made
9.511344	it!
