speaker = narrator
0.000000	Without
0.405972	warning,
0.869940	the
1.043928	television
1.623888	went
1.855872	dead.
2.145852	///
2.145852	“Hey!”
2.493828	Mathias
2.899800	said,
3.189780	“What
3.479760	just
3.711744	happened?”
3.711744	///
3.827736	“I
4.117716	don’t
4.407696	know,
4.871664	Mathias,
5.045652	but
5.219640	I’m
5.509620	going
5.625612	to
5.741604	be
5.799600	a
6.089580	space
6.553548	explorer
6.785532	just
7.017516	like
7.423488	David,”
7.713468	Gemma
8.003448	replied.
8.467416	///
8.467416	“Us
8.641404	too!”
8.931384	declared
9.395352	the
9.569340	rest
9.801324	of
9.917316	the
10.091304	kids.
10.381284	///
10.381284	“Arf!
10.671264	Arf!”
10.961244	added
11.251224	Chewie.
