speaker = narrator
0.000000	Meet
0.231984	the
0.405972	Explorers
0.927936	Club:
1.217916	Niko,
1.507896	Layla,
1.855872	Mathias
2.261844	and
2.435832	Gemma.
2.783808	Oh,
2.957796	and
3.131784	don’t
3.421764	forget
3.769740	their
4.059720	curious
4.465692	puppy,
4.813668	Chewie.
5.219640	He
5.335632	is
5.451624	the
5.625612	most
5.857596	adventurous
6.495552	dog
6.669540	in
6.785532	the
6.959520	universe
7.423488	–
7.481484	or
7.597476	at
7.713468	least
8.003448	in
8.119440	his
8.293428	neighbourhood.
